=== HISTORY LOG STARTED ===
[2025-11-16 16:06:55] LOG | Table: Unit | ID: 23kfdnksjdnma-k23rkfewnwe2 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Unit@417e0c0a
 [2025-11-16 18:58:52] LOG | Table: InputProduct | ID: 483ab488-d11d-4f6e-a52e-7533c41fab1b | Action: CREATE | Value: InputProduct(product=Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=123000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true), warehouse=uz.nova.buildingcrm.model.entity.Warehouse@1b815640, supplier=Supplier(name=Shirin, phone=+998998887766, active=true), currency=UZS, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), date=2025-11-16T18:58:52.711976, quantity=25, price=123000, oosPercentage=12, minStock=5)

 [2025-11-16 18:58:52] LOG | Table: Stock | ID: 3fe49d07-e5da-4145-9025-f69c41babfbc | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@2594497

 [2025-11-16 18:59:02] LOG | Table: Product | ID: 4c6ea93c-1fa5-476b-8c2b-6d1b651a7118 | Action: CREATE | Value: Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=143000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true)

 [2025-11-16 18:59:02] LOG | Table: InputProduct | ID: c17a970e-c20e-4a5b-8c09-06a9983630ab | Action: CREATE | Value: InputProduct(product=Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=143000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true), warehouse=uz.nova.buildingcrm.model.entity.Warehouse@5e1a172a, supplier=Supplier(name=Shirin, phone=+998998887766, active=true), currency=UZS, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), date=2025-11-16T18:59:02.989535, quantity=25, price=143000, oosPercentage=12, minStock=5)

 [2025-11-16 18:59:03] LOG | Table: Stock | ID: 3fe49d07-e5da-4145-9025-f69c41babfbc | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@4dfc42c

 [2025-11-16 22:50:09] LOG | Table: AuthUser | ID: 2f7cd5f1-3b9f-4586-ad52-e7e84d698d00 | Action: CREATE | Value: AuthUser(fullName=akmal, username=akmal, active=true, roles=[MANAGER])

 [2025-11-16 22:50:40] LOG | Table: Warehouse | ID: f16ae14c-0cd1-4eb9-9c4c-f72035dc1b23 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Warehouse@79499742

 [2025-11-16 22:51:06] LOG | Table: Unit | ID: iyguytkjbhgvur765765tu8ygfrxdgfujtf5trytf | Action: CREATE | Value: Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true)

 [2025-11-16 22:51:38] LOG | Table: Supplier | ID: 0e2f83cf-2da9-4c59-a3c7-807db67422ef | Action: CREATE | Value: Supplier(name=Apple, phone=+998998887766, active=true)

 [2025-11-16 22:52:08] LOG | Table: Supplier | ID: 652f2c96-53da-493a-ba01-1d4b3d86a2bf | Action: CREATE | Value: Supplier(name=Shirin, phone=null, active=true)

 [2025-11-16 22:52:08] LOG | Table: Product | ID: 3221e6bc-1cac-4384-be7f-f473d48fb0ca | Action: CREATE | Value: Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=133000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true)

 [2025-11-16 22:52:58] LOG | Table: Supplier | ID: b7edc59b-fdcc-4ea6-8c99-414d706f218a | Action: CREATE | Value: Supplier(name=Shirin, phone=null, active=true)

 [2025-11-16 22:52:58] LOG | Table: Product | ID: 1cd22af7-15e0-4fa2-a116-54515ef633ce | Action: CREATE | Value: Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=133000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true)

 [2025-11-16 22:52:58] LOG | Table: InputProduct | ID: b9b5f5c1-3ac7-435b-a2d7-a2a8d9a82c4b | Action: CREATE | Value: InputProduct(product=Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=133000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true), warehouse=uz.nova.buildingcrm.model.entity.Warehouse@451da9b6, supplier=Supplier(name=Shirin, phone=null, active=true), currency=UZS, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), date=2025-11-16T22:52:58.918369, quantity=25, price=133000, oosPercentage=12, minStock=5)

 [2025-11-16 22:52:58] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@994689b

 [2025-11-16 22:53:26] LOG | Table: Product | ID: 1cd22af7-15e0-4fa2-a116-54515ef633ce | Action: CREATE | Value: Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=153000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true)

 [2025-11-16 22:53:26] LOG | Table: InputProduct | ID: 06aaee33-2b99-45c0-995c-b599184c8c4b | Action: CREATE | Value: InputProduct(product=Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=153000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true), warehouse=uz.nova.buildingcrm.model.entity.Warehouse@64955c71, supplier=Supplier(name=Shirin, phone=null, active=true), currency=UZS, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), date=2025-11-16T22:53:26.227741, quantity=25, price=153000, oosPercentage=12, minStock=5)

 [2025-11-16 22:53:26] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@56bb092a

 [2025-11-16 23:33:34] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@7b6979c1

 [2025-11-16 23:33:34] LOG | Table: Sale | ID: 09f9cbe5-0e2b-4fac-96a2-4d494c577fad | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Sale@509f81bc

 [2025-11-16 23:38:41] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@5887618b

 [2025-11-16 23:38:41] LOG | Table: Sale | ID: b330eb4a-1e99-48df-b7c9-0140750dad1f | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Sale@3d217d04

 [2025-11-16 23:38:41] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@5887618b

 [2025-11-16 23:38:41] LOG | Table: Sale | ID: cfa01f3d-ed20-44ae-ad51-a3fccb8868c2 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Sale@344894bc

 [2025-11-16 23:40:30] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@1febad8f

 [2025-11-16 23:40:30] LOG | Table: CreditSale | ID: 3d9fa2d8-fe27-4f4e-a897-67911fa13a97 | Action: CREATE | Value: CreditSale(sale=null, customerName=null, phone=null, totalAmount=306000.00, paidAmount=0, purchaseDate=2025-11-16, dueDate=null, status=CREDIT)

 [2025-11-16 23:40:30] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@1febad8f

 [2025-11-16 23:40:30] LOG | Table: CreditSale | ID: 54886f3b-92fa-4211-81b3-2fe3b00f1c02 | Action: CREATE | Value: CreditSale(sale=null, customerName=null, phone=null, totalAmount=918000.00, paidAmount=0, purchaseDate=2025-11-16, dueDate=null, status=CREDIT)

 [2025-11-16 23:44:55] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@1b588e4c

 [2025-11-16 23:44:55] LOG | Table: CreditSale | ID: 72f4bd28-3764-447f-8a17-4361996e1464 | Action: CREATE | Value: CreditSale(sale=null, customerName=Falonkas, phone=+998993332211, totalAmount=306000.00, paidAmount=0, purchaseDate=2025-11-16, dueDate=2026-10-16, status=CREDIT)

 [2025-11-16 23:44:55] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@1b588e4c

 [2025-11-16 23:44:55] LOG | Table: CreditSale | ID: caee7561-ef4a-4302-a27a-142997879488 | Action: CREATE | Value: CreditSale(sale=null, customerName=Falonkas, phone=+998993332211, totalAmount=918000.00, paidAmount=0, purchaseDate=2025-11-16, dueDate=2026-10-16, status=CREDIT)

 [2025-11-16 23:45:31] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@325665d8

 [2025-11-16 23:45:31] LOG | Table: CreditSale | ID: 486ebedc-e96b-4dde-9664-b38b79b0742e | Action: CREATE | Value: CreditSale(sale=null, customerName=Falonkas, phone=+998993332211, totalAmount=306000.00, paidAmount=0, purchaseDate=2025-11-16, dueDate=2026-10-16, status=CREDIT)

 [2025-11-16 23:45:31] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@325665d8

 [2025-11-16 23:45:31] LOG | Table: CreditSale | ID: 96e35a94-0cc9-4326-8ddf-254a662999eb | Action: CREATE | Value: CreditSale(sale=null, customerName=Falonkas, phone=+998993332211, totalAmount=918000.00, paidAmount=0, purchaseDate=2025-11-16, dueDate=2026-10-16, status=CREDIT)

 [2025-11-17 00:19:18] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@954ec0f

 [2025-11-17 00:19:18] LOG | Table: Output | ID: 2b351e39-9914-4884-bcfb-b13e8fbc9947 | Action: CREATE | Value: Output(warehouse=uz.nova.buildingcrm.model.entity.Warehouse@634154fd, cashier=AuthUser(fullName=akmal, username=akmal, active=true, roles=[MANAGER]), currency=UZS, products=null, date=2025-11-17T00:19:18.285519)

 [2025-11-17 00:19:18] LOG | Table: Sale | ID: 9d785b18-40db-4d63-a089-dfe7a399e416 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Sale@7eebae36

 [2025-11-17 00:19:18] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@954ec0f

 [2025-11-17 00:19:18] LOG | Table: Output | ID: d540e7ee-04d4-4b30-b9fd-18a16ca59778 | Action: CREATE | Value: Output(warehouse=uz.nova.buildingcrm.model.entity.Warehouse@634154fd, cashier=AuthUser(fullName=akmal, username=akmal, active=true, roles=[MANAGER]), currency=UZS, products=null, date=2025-11-17T00:19:18.319448)

 [2025-11-17 00:19:18] LOG | Table: Sale | ID: 0d1f5312-e43f-4abc-ba97-acca0e01a056 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Sale@40919ff

 [2025-11-17 00:19:28] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@5893584f

 [2025-11-17 00:19:28] LOG | Table: Output | ID: 6f484768-b137-47c1-bc72-574db4b523f8 | Action: CREATE | Value: Output(warehouse=uz.nova.buildingcrm.model.entity.Warehouse@615e502d, cashier=AuthUser(fullName=akmal, username=akmal, active=true, roles=[MANAGER]), currency=UZS, products=null, date=2025-11-17T00:19:28.866484)

 [2025-11-17 00:19:28] LOG | Table: CreditSale | ID: 29caa68d-2af6-4a61-822c-e562e0235e21 | Action: CREATE | Value: CreditSale(sale=null, customerName=Falonkas, phone=+998993332211, totalAmount=306000.00, paidAmount=0, purchaseDate=2025-11-17, dueDate=2026-10-16, status=CREDIT)

 [2025-11-17 00:20:01] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@4d78f0d4

 [2025-11-17 00:20:01] LOG | Table: Output | ID: cdf1c2fc-e6d2-4a93-84e7-199292edaa18 | Action: CREATE | Value: Output(warehouse=uz.nova.buildingcrm.model.entity.Warehouse@6eb8e2ce, cashier=AuthUser(fullName=akmal, username=akmal, active=true, roles=[MANAGER]), currency=UZS, products=null, date=2025-11-17T00:20:01.044289)

 [2025-11-17 00:20:01] LOG | Table: CreditSale | ID: 322a8107-3275-4ede-a15f-00b1569f86ef | Action: CREATE | Value: CreditSale(sale=null, customerName=Falonkas, phone=+998993332211, totalAmount=306000.00, paidAmount=0, purchaseDate=2025-11-17, dueDate=2026-10-16, status=CREDIT)

 [2025-11-17 00:21:25] LOG | Table: Product | ID: 1cd22af7-15e0-4fa2-a116-54515ef633ce | Action: CREATE | Value: Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=153000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true)

 [2025-11-17 00:21:25] LOG | Table: InputProduct | ID: 3a85e92e-ef59-4feb-a039-5498598b6102 | Action: CREATE | Value: InputProduct(product=Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=153000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true), warehouse=uz.nova.buildingcrm.model.entity.Warehouse@7d15e9d9, supplier=Supplier(name=Shirin, phone=null, active=true), currency=UZS, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), date=2025-11-17T00:21:25.130756, quantity=25, price=153000, oosPercentage=12, minStock=5)

 [2025-11-17 00:21:25] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@2be2e8cf

 [2025-11-17 00:21:28] LOG | Table: Product | ID: 1cd22af7-15e0-4fa2-a116-54515ef633ce | Action: CREATE | Value: Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=153000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true)

 [2025-11-17 00:21:28] LOG | Table: InputProduct | ID: 957e8ea4-de80-40d5-b1c1-bfb453e9fae6 | Action: CREATE | Value: InputProduct(product=Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=153000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true), warehouse=uz.nova.buildingcrm.model.entity.Warehouse@50b35f85, supplier=Supplier(name=Shirin, phone=null, active=true), currency=UZS, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), date=2025-11-17T00:21:28.407684, quantity=25, price=153000, oosPercentage=12, minStock=5)

 [2025-11-17 00:21:28] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@4640e435

 [2025-11-17 00:21:52] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@6d4f4dd9

 [2025-11-17 00:21:52] LOG | Table: Output | ID: fd8b3565-e759-4b58-a764-ac2ba148ba8a | Action: CREATE | Value: Output(warehouse=uz.nova.buildingcrm.model.entity.Warehouse@2bf585dc, cashier=AuthUser(fullName=akmal, username=akmal, active=true, roles=[MANAGER]), currency=UZS, products=null, date=2025-11-17T00:21:52.080123)

 [2025-11-17 00:21:52] LOG | Table: CreditSale | ID: c1f7a206-9074-4e06-b276-8c261f0f0878 | Action: CREATE | Value: CreditSale(sale=null, customerName=Falonkas, phone=+998993332211, totalAmount=306000.00, paidAmount=0, purchaseDate=2025-11-17, dueDate=2026-10-16, status=CREDIT)

 [2025-11-17 00:21:52] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@6d4f4dd9

 [2025-11-17 00:21:52] LOG | Table: Output | ID: 82d18e85-dc2d-439d-85d8-2d415841c8b0 | Action: CREATE | Value: Output(warehouse=uz.nova.buildingcrm.model.entity.Warehouse@2bf585dc, cashier=AuthUser(fullName=akmal, username=akmal, active=true, roles=[MANAGER]), currency=UZS, products=null, date=2025-11-17T00:21:52.091702)

 [2025-11-17 00:21:52] LOG | Table: CreditSale | ID: 21d40acb-085e-4be0-a79e-ae39b648c036 | Action: CREATE | Value: CreditSale(sale=null, customerName=Falonkas, phone=+998993332211, totalAmount=918000.00, paidAmount=0, purchaseDate=2025-11-17, dueDate=2026-10-16, status=CREDIT)

 [2025-11-17 00:22:42] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@42a06bd0

 [2025-11-17 00:22:42] LOG | Table: Output | ID: bd31747e-947c-4b4f-909f-2ed2d1ba383e | Action: CREATE | Value: Output(warehouse=uz.nova.buildingcrm.model.entity.Warehouse@5f214709, cashier=AuthUser(fullName=akmal, username=akmal, active=true, roles=[MANAGER]), currency=UZS, products=null, date=2025-11-17T00:22:42.554081)

 [2025-11-17 00:22:42] LOG | Table: CreditSale | ID: eaf6880e-d9cf-4186-9254-29d9f8add4ca | Action: CREATE | Value: CreditSale(sale=null, customerName=Falonkas, phone=+998993332211, totalAmount=306000.00, paidAmount=0, purchaseDate=2025-11-17, dueDate=2026-10-16, status=CREDIT)

 [2025-11-17 00:22:42] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@42a06bd0

 [2025-11-17 00:22:42] LOG | Table: Output | ID: 0d2f87c4-4369-450e-b86c-e14ff5da9639 | Action: CREATE | Value: Output(warehouse=uz.nova.buildingcrm.model.entity.Warehouse@5f214709, cashier=AuthUser(fullName=akmal, username=akmal, active=true, roles=[MANAGER]), currency=UZS, products=null, date=2025-11-17T00:22:42.568029)

 [2025-11-17 00:22:42] LOG | Table: CreditSale | ID: e8af6a70-7a50-476e-aba4-ed4f8a98c548 | Action: CREATE | Value: CreditSale(sale=null, customerName=Falonkas, phone=+998993332211, totalAmount=918000.00, paidAmount=0, purchaseDate=2025-11-17, dueDate=2026-10-16, status=CREDIT)

 [2025-11-17 01:48:22] LOG | Table: Product | ID: 1cd22af7-15e0-4fa2-a116-54515ef633ce | Action: CREATE | Value: Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=143000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true)

 [2025-11-17 01:48:22] LOG | Table: InputProduct | ID: fbc459a3-e545-4dd0-ac14-7e99994e4b3a | Action: CREATE | Value: InputProduct(product=Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=143000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true), warehouse=uz.nova.buildingcrm.model.entity.Warehouse@6522d3cc, supplier=Supplier(name=Shirin, phone=null, active=true), currency=UZS, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), date=2025-11-17T01:48:22.566166, quantity=25, price=143000, oosPercentage=12, minStock=5)

 [2025-11-17 01:48:22] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@115cb363

 [2025-11-17 01:48:28] LOG | Table: Product | ID: 1cd22af7-15e0-4fa2-a116-54515ef633ce | Action: CREATE | Value: Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=153000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true)

 [2025-11-17 01:48:28] LOG | Table: InputProduct | ID: 875cec39-19a1-40a4-98b4-1c3bd4f886a9 | Action: CREATE | Value: InputProduct(product=Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=153000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true), warehouse=uz.nova.buildingcrm.model.entity.Warehouse@2fd7814d, supplier=Supplier(name=Shirin, phone=null, active=true), currency=UZS, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), date=2025-11-17T01:48:28.347030, quantity=25, price=153000, oosPercentage=12, minStock=5)

 [2025-11-17 01:48:28] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@6d50ccb9

 [2025-11-17 01:48:48] LOG | Table: Stock | ID: 8f0415c2-5f11-4366-bb2e-17d06cdcbba4 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Stock@4c01b665

 [2025-11-17 01:48:48] LOG | Table: Output | ID: 111ed248-6d1e-4072-917f-cf6846fadd36 | Action: CREATE | Value: Output(warehouse=uz.nova.buildingcrm.model.entity.Warehouse@65926ef2, cashier=AuthUser(fullName=akmal, username=akmal, active=true, roles=[MANAGER]), currency=UZS, products=null, date=2025-11-17T01:48:48.009881)

 [2025-11-17 01:48:48] LOG | Table: Sale | ID: 02e8c37c-9eb2-45b6-96b0-c41293f65bd9 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Sale@551f1866

